Latitude,Longitude,Stop Name,Stop Status
40.689471,-73.922223,GATES AV/BROADWAY,at stop
40.686221,-73.970061,GREENE AV/ADELPHI ST,at stop
40.686215,-73.950585,GATES AV/NOSTRAND AV,approaching
40.688212,-73.933248,GATES AV/STUYVESANT AV,approaching
40.686274,-73.95008,GATES AV/NOSTRAND AV,approaching
40.687325,-73.960488,GREENE AV/CLASSON AV,approaching
40.698343,-73.913375,PALMETTO ST/IRVING AV,approaching
40.693922,-73.990411,NA,NA
40.690364,-73.984613,FULTON ST/BOND ST,approaching
40.691921,-73.988513,JORALEMON ST/COURT ST,< 1 stop away
40.692421,-73.919191,GATES AV/CENTRAL AV,< 1 stop away
40.695486,-73.988994,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
